year,school_id,department_id,school_name,department_name,category_id,category_name,school_name_abbr,department_name_abbr
105,6,6042,國立政治大學,教育學系,1,教育,政大,教育
105,6,6012,國立政治大學,中國文學系,2,藝術及人文,政大,中文
105,6,6242,國立政治大學,英國語文學系,2,藝術及人文,政大,英國語文
105,6,6272,國立政治大學,日本語文學系,2,藝術及人文,政大,日本語文
105,6,6252,國立政治大學,阿拉伯語文學系,2,藝術及人文,政大,阿拉伯語文
105,6,6282,國立政治大學,韓國語文學系,2,藝術及人文,政大,韓國語文
105,6,6292,國立政治大學,土耳其語文學系,2,藝術及人文,政大,土耳其語
105,6,6302,國立政治大學,歐洲語文學系法文組,2,藝術及人文,政大,歐洲法文
105,6,6312,國立政治大學,歐洲語文學系德文組,2,藝術及人文,政大,歐洲德文
105,6,6322,國立政治大學,歐洲語文學系西班牙文組,2,藝術及人文,政大,歐洲西班牙文
105,6,6262,國立政治大學,斯拉夫語文學系,2,藝術及人文,政大,斯拉夫語
105,6,6022,國立政治大學,歷史學系,2,藝術及人文,政大,歷史
105,6,6032,國立政治大學,哲學系,2,藝術及人文,政大,哲學
105,6,6122,國立政治大學,經濟學系,3,社會科學、新聞學及圖書資訊,政大,經濟
105,6,6052,國立政治大學,政治學系,3,社會科學、新聞學及圖書資訊,政大,政治
105,6,6062,國立政治大學,社會學系,3,社會科學、新聞學及圖書資訊,政大,社會
105,6,6132,國立政治大學,民族學系,2,藝術及人文,政大,民族學
105,6,6352,國立政治大學,心理學系,3,社會科學、新聞學及圖書資訊,政大,心理
105,6,6082,國立政治大學,公共行政學系,4,商業、管理及法律,政大,公共行政
105,6,6112,國立政治大學,地政學系土地測量與資訊組,4,商業、管理及法律,政大,地政土地資訊
105,6,6092,國立政治大學,地政學系土地資源規劃組,4,商業、管理及法律,政大,地政土地資源
105,6,6102,國立政治大學,地政學系土地管理組,4,商業、管理及法律,政大,地政土地管理
105,6,6142,國立政治大學,外交學系,3,社會科學、新聞學及圖書資訊,政大,外交
105,6,6232,國立政治大學,傳播學院大一大二不分系,3,社會科學、新聞學及圖書資訊,政大,傳播不分系
105,6,6172,國立政治大學,會計學系,4,商業、管理及法律,政大,會計
105,6,6192,國立政治大學,企業管理學系,4,商業、管理及法律,政大,企業管理
105,6,6152,國立政治大學,國際經營與貿易學系,4,商業、管理及法律,政大,國際經貿
105,6,6212,國立政治大學,財務管理學系,4,商業、管理及法律,政大,財務管理
105,6,6162,國立政治大學,金融學系,4,商業、管理及法律,政大,金融
105,6,6222,國立政治大學,風險管理與保險學系,4,商業、管理及法律,政大,風險管理保險
105,6,6072,國立政治大學,財政學系,4,商業、管理及法律,政大,財政
105,6,6332,國立政治大學,法律學系,4,商業、管理及法律,政大,法律
105,6,6342,國立政治大學,應用數學系,5,自然科學、數學及統計,政大,應用數學
105,6,6182,國立政治大學,統計學系,5,自然科學、數學及統計,政大,統計
105,6,6202,國立政治大學,資訊管理學系,6,資訊通訊科技,政大,資管
105,6,6362,國立政治大學,資訊科學系,6,資訊通訊科技,政大,資科
105,11,11012,國立清華大學,中國文學系,2,藝術及人文,清大,中文
105,11,11022,國立清華大學,外國語文學系,2,藝術及人文,清大,外文
105,11,11032,國立清華大學,人文社會學院學士班,2,藝術及人文,清大,人社學院
105,11,11042,國立清華大學,經濟學系,3,社會科學、新聞學及圖書資訊,清大,經濟
105,11,11062,國立清華大學,計量財務金融學系,4,商業、管理及法律,清大,計量財金
