school_name,department_name,department_id,score
國立臺灣大學,醫學系,1222,9.70002
國立陽明大學,醫學系A組,25012,7.535528
國立成功大學,醫學系,4292,7.238271
國立臺灣大學,電機工程學系,1532,6.92849
國立臺灣大學,牙醫學系,1232,6.672413
國立臺灣大學,資訊工程學系,1542,6.623663
國立陽明大學,醫學系B組,25022,6.142867
國立臺灣大學,獸醫學系,1412,5.986334
國立臺灣大學,化學系,1112,5.36516
國立臺灣大學,數學系,1092,5.281648
國立臺灣大學,物理學系,1102,5.273836
國立臺灣大學,藥學系,1242,5.216874
臺北醫學大學,牙醫學系,109022,5.186486
國立交通大學,電機資訊學士班,13012,5.16791
國立臺灣大學,化學工程學系,1312,5.166868
長庚大學,醫學系,30012,5.152881
國立臺灣大學,機械工程學系,1302,5.014727
國立臺灣大學,財務金融學系,1492,4.929377
國立陽明大學,牙醫學系,25032,4.92689
高雄醫學大學,醫學系,7012,4.836558
國立臺灣大學,物理治療學系,1272,4.813957
臺北醫學大學,醫學系,109012,4.809425
國立成功大學,建築學系,4412,4.789007
國立臺灣大學,大氣科學系,1152,4.782329
高雄醫學大學,牙醫學系,7042,4.747419
國立臺灣大學,工商管理學系科技管理組,1472,4.729234
國立臺灣大學,材料科學與工程學系,1332,4.660478
國立臺灣大學,法律學系財經法學組,1572,4.647473
國立臺灣大學,法律學系司法組,1562,4.577565
國立臺灣大學,法律學系法學組,1552,4.51108
國立臺灣大學,工程科學及海洋工程學系,1322,4.430219
長庚大學,中醫學系,30022,4.394712
輔仁大學,醫學系,20132,4.365123
國立交通大學,電機工程學系(甲組),13052,4.349893
國立臺灣大學,資訊管理學系,1512,4.321144
國立臺灣大學,國際企業學系,1502,4.29941
國立臺灣大學,土木工程學系,1292,4.252332
國立交通大學,資訊工程學系資訊工程組,13092,4.167019
國立臺灣大學,經濟學系,1192,4.159458
國立成功大學,醫學系(公費生),4482,4.101873
國立成功大學,工業設計學系,4432,4.068221
國立臺灣大學,地質科學系,1122,4.062929
國立交通大學,資訊工程學系網路與多媒體工程組,13102,4.03334
國立臺灣大學,政治學系國際關係組,1172,4.023946
國立臺灣大學,會計學系,1482,4.021504
中國醫藥大學,醫學系,12022,3.978455
國立陽明大學,藥學系,25112,3.974265
國立臺灣大學,心理學系,1132,3.950648
國立臺灣大學,生化科技學系,1592,3.888931
國立交通大學,電子工程學系(乙組),13042,3.885569
國立交通大學,電機工程學系(乙組),13062,3.859037
國立臺灣大學,醫學系(公費生),1612,3.839311
國立臺灣大學,政治學系公共行政組,1182,3.800894
國立臺灣大學,醫學檢驗暨生物技術學系,1252,3.783219
國立臺灣大學,職能治療學系,1282,3.779627
國立交通大學,電子工程學系(甲組),13032,3.778203
國立臺灣大學,戲劇學系,1082,3.745295
國立臺灣大學,護理學系,1262,3.723414
國立臺灣大學,社會學系,1202,3.683712
慈濟大學,醫學系,108012,3.678667
國立成功大學,藥學系,4342,3.676862
國立清華大學,電機工程學系乙組,11232,3.656157
國立臺灣大學,日本語文學系,1072,3.648105
國立陽明大學,不分系招生(璞玉B組),25142,3.552772
國立臺灣大學,地理環境資源學系,1142,3.514239
國立臺灣大學,生物產業傳播暨發展學系,1422,3.500321
國立臺灣大學,農業化學系,1362,3.498644
國立清華大學,電機工程學系甲組,11222,3.490015
國立臺灣大學,政治學系政治理論組,1162,3.489643
國立臺灣大學,農業經濟學系,1392,3.46685
國立臺灣大學,外國語文學系,1022,3.440844
馬偕醫學院,醫學系,152012,3.431772
國立中興大學,獸醫學系,3382,3.43111
國立臺灣大學,生物產業機電工程學系,1432,3.380577
國立臺灣大學,工商管理學系企業管理組,1462,3.352594
中山醫學大學,牙醫學系,26022,3.31263
國立清華大學,材料科學工程學系,11192,3.300125
中國醫藥大學,中醫學系甲組,12032,3.270864
國立臺灣大學,公共衛生學系,1522,3.258069
國立清華大學,工學院學士班,11212,3.229939
臺北醫學大學,藥學系藥學組,109032,3.216832
國立清華大學,電機資訊學院學士班,11262,3.201926
國立交通大學,旋坤揚帆招生甲組(電機資訊),13302,3.201513
國立清華大學,化學系,11112,3.200309
中國醫藥大學,牙醫學系,12012,3.196305
臺北醫學大學,藥學系臨床藥學組,109042,3.191513
國立政治大學,教育學系,6042,3.190686
國立陽明大學,生命科學系暨基因體科學研究所,25092,3.175494
國立交通大學,資訊工程學系資電工程組,13082,3.161802
國立臺灣大學,歷史學系,1032,3.155709
中國醫藥大學,中醫學系乙組,12042,3.136398
國立臺灣大學,圖書資訊學系,1062,3.130501
國立成功大學,電機工程學系,4392,3.129153
國立臺灣大學,生物環境系統工程學系,1352,3.125963
東海大學,建築學系,9422,3.125411
國立臺灣師範大學,美術學系西畫組,2362,3.117726
國立臺灣大學,生命科學系,1582,3.096374
