school_name,department_name,department_id,score
國立臺灣大學,醫學系,1222,9.964871
國立陽明大學,醫學系B組,25022,7.911042
國立成功大學,醫學系,4282,7.634336
國立陽明大學,醫學系A組,25012,7.516188
國立臺灣大學,電機工程學系,1532,7.361778
國立臺灣大學,資訊工程學系,1542,6.630662
國立臺灣大學,醫學系(公費生),1612,6.409907
國立臺灣大學,物理學系,1102,6.002581
臺北醫學大學,醫學系,109012,5.857992
國立陽明大學,牙醫學系,25032,5.80925
國立臺灣大學,牙醫學系,1232,5.758463
長庚大學,醫學系,30012,5.717249
馬偕醫學院,醫學系,152012,5.520292
長庚大學,中醫學系,30022,5.489516
國立臺灣大學,化學工程學系,1312,5.371802
國立臺灣大學,化學系,1112,5.369074
國立臺灣大學,獸醫學系,1412,5.36555
臺北醫學大學,牙醫學系,109022,5.307147
國立臺灣大學,政治學系國際關係組,1172,5.268601
國立臺灣大學,機械工程學系,1302,5.254774
國立臺灣大學,財務金融學系,1492,5.235915
慈濟大學,醫學系,108012,5.147451
國立臺灣大學,工程科學及海洋工程學系,1322,4.889071
國立臺灣大學,心理學系,1132,4.852392
國立臺灣大學,數學系,1092,4.795872
國立臺灣大學,資訊管理學系,1512,4.783211
國立臺灣大學,材料科學與工程學系,1332,4.78308
國立臺灣大學,藥學系,1242,4.781065
國立交通大學,電機資訊學士班,13012,4.733502
中國醫藥大學,醫學系,12022,4.638679
國立成功大學,建築學系,4402,4.541768
國立臺灣大學,法律學系司法組,1562,4.530897
國立臺灣大學,生化科技學系,1592,4.475642
高雄醫學大學,醫學系,7012,4.46876
東海大學,建築學系,9432,4.427114
中國醫藥大學,中醫學系甲組,12032,4.424976
國立清華大學,電機資訊學院學士班,11362,4.383204
國立臺灣大學,土木工程學系,1292,4.331341
國立臺灣大學,農藝學系,1342,4.279409
國立陽明大學,藥學系,25112,4.260037
國立臺灣大學,法律學系財經法學組,1572,4.244185
國立交通大學,電機工程學系(甲組),13052,4.203128
國立臺灣大學,經濟學系,1192,4.199539
國立臺灣大學,地理環境資源學系,1142,4.163022
輔仁大學,醫學系,20132,4.083315
國立臺灣大學,生物產業傳播暨發展學系,1422,4.045869
國立臺灣大學,物理治療學系,1272,4.031887
國立臺灣大學,法律學系法學組,1552,4.023247
國立清華大學,電機工程學系乙組,11332,4.003821
高雄醫學大學,牙醫學系,7042,3.960125
國立政治大學,阿拉伯語文學系,6272,3.955255
中山醫學大學,醫學系,26012,3.94483
國立臺灣大學,政治學系政治理論組,1162,3.944383
國立清華大學,電機工程學系甲組,11322,3.905559
國立交通大學,資訊工程學系資訊工程組,13092,3.895914
國立交通大學,電子工程學系(乙組),13042,3.890319
國立臺灣大學,外國語文學系,1022,3.885197
國立臺灣大學,會計學系,1482,3.883038
國立臺灣大學,國際企業學系,1502,3.873015
國立交通大學,電機工程學系(乙組),13062,3.829088
國立臺灣大學,歷史學系,1032,3.821738
國立清華大學,數學系應用數學組,11172,3.80464
國立成功大學,藥學系,4332,3.794549
臺北醫學大學,藥學系臨床藥學組,109042,3.791979
國立臺灣大學,政治學系公共行政組,1182,3.704616
中國醫藥大學,中醫學系乙組,12042,3.677101
國立交通大學,資訊工程學系網路與多媒體工程組,13102,3.654914
國立臺灣大學,農業經濟學系,1392,3.652331
國立陽明大學,醫學系(公費生),25152,3.636323
國立清華大學,清華學院學士班丁組(不分系招生-創新領導),11412,3.628722
國立臺灣大學,大氣科學系,1152,3.613049
國立陽明大學,不分系招生(璞玉B組),25142,3.611444
國立臺灣大學,中國文學系,1012,3.578783
臺北醫學大學,藥學系藥學組,109032,3.567801
國立交通大學,資訊工程學系資電工程組,13082,3.548467
