school_name,department_name,department_id,score
國立臺灣大學,醫學系,1222,9.716778
國立陽明大學,醫學系A組,25012,7.859679
國立成功大學,醫學系,4282,7.247651
國立臺灣大學,牙醫學系,1242,6.710584
國立臺灣大學,電機工程學系,1562,6.56887
國立陽明大學,牙醫學系,25032,6.504297
國立陽明大學,醫學系B組,25022,6.431134
國立臺灣大學,醫學系(公費生),1232,6.214507
國立臺灣大學,資訊工程學系,1572,6.030814
長庚大學,醫學系,30012,5.778332
臺北醫學大學,醫學系,109012,5.651816
國立臺灣大學,化學工程學系,1332,5.490778
國立臺灣大學,財務金融學系,1522,5.489056
國立臺灣大學,化學系,1112,5.400915
國立臺灣大學,物理學系,1102,5.308683
國立臺灣大學,數學系,1092,5.274727
國立陽明大學,不分系招生(璞玉B組),25142,5.198286
國立臺灣大學,材料科學與工程學系,1352,5.052884
臺北醫學大學,牙醫學系,109022,4.958945
馬偕醫學院,醫學系,152012,4.932993
高雄醫學大學,醫學系,7012,4.884234
國立臺灣大學,機械工程學系,1322,4.827516
中國醫藥大學,醫學系,12022,4.779823
國立臺灣大學,藥學系,1252,4.76647
國立臺灣大學,資訊管理學系,1542,4.759825
國立臺灣大學,工程科學及海洋工程學系,1342,4.728263
國立臺灣大學,法律學系財經法學組,1602,4.443706
國立臺灣大學,法律學系司法組,1592,4.434742
長庚大學,中醫學系,30022,4.426778
國立臺灣大學,獸醫學系,1442,4.397525
國立臺灣大學,醫學工程學系,1362,4.390528
國立交通大學,電機資訊學士班,13012,4.388197
慈濟大學,醫學系,108012,4.33247
國立臺灣大學,土木工程學系,1312,4.174434
國立陽明大學,藥學系,25112,4.137122
國立成功大學,建築學系,4402,4.095963
國立清華大學,電機工程學系甲組,11322,4.093712
國立臺灣大學,國際企業學系,1532,4.041017
國立臺灣大學,法律學系法學組,1582,4.00357
國立清華大學,電機資訊學院學士班,11362,3.989892
中國醫藥大學,中醫學系甲組,12032,3.906809
高雄醫學大學,牙醫學系,7042,3.871679
國立成功大學,藥學系,4332,3.8633
東海大學,建築學系,9452,3.849607
國立臺灣大學,經濟學系,1192,3.832352
國立交通大學,資訊工程學系網路與多媒體工程組,13102,3.811628
國立陽明大學,醫學系(公費生),25152,3.789018
國立清華大學,清華學院學士班甲組(不分系招生-音樂),11402,3.771181
國立臺灣大學,日本語文學系,1072,3.758572
國立臺灣藝術大學,多媒體動畫藝術學系,56202,3.69535
國立臺灣大學,職能治療學系,1302,3.677348
臺北醫學大學,藥學系藥學組,109032,3.665278
國立臺灣大學,歷史學系,1032,3.632928
國立臺灣大學,工商管理學系科技管理組,1502,3.595802
國立清華大學,材料科學工程學系,11292,3.59469
國立清華大學,物理學系物理組(乙組天文物理組),11192,3.591133
慈濟大學,醫學系(公費生),108172,3.578267
國立臺灣大學,護理學系,1272,3.559712
國立交通大學,電機工程學系(乙組),13062,3.551259
國立清華大學,清華學院學士班丁組(不分系招生-創新領導),11432,3.506109
國立交通大學,資訊工程學系資訊工程組,13092,3.495953
中山醫學大學,醫學系,26012,3.481824
國立臺灣大學,工商管理學系企業管理組,1492,3.459425
國立臺灣大學,中國文學系,1012,3.451542
國立臺灣大學,會計學系,1512,3.444352
國立臺灣大學,心理學系,1132,3.444286
國立成功大學,工業設計學系,4422,3.438115
國立交通大學,電子工程學系(乙組),13042,3.432354
國立臺灣大學,圖書資訊學系,1062,3.422566
國立清華大學,動力機械工程學系,11282,3.417182
國立臺灣大學,生命科學系,1612,3.39071
國立清華大學,理學院學士班,11222,3.389768
國立臺灣大學,森林環境暨資源學系,1402,3.386634
國立臺灣大學,生化科技學系,1622,3.381859
國立臺灣大學,物理治療學系,1292,3.379122
國立臺灣大學,生物產業機電工程學系,1462,3.371925
國立清華大學,旭日招生丙組(電資、材料、動機),11462,3.343196
中國醫藥大學,牙醫學系,12012,3.302565
國立清華大學,資訊工程學系甲組(電子資訊組),11342,3.296182
國立臺灣師範大學,美術學系西畫組,2362,3.269749
國立交通大學,資訊管理與財務金融學系資訊管理組,13212,3.253248
國立臺灣大學,地理環境資源學系,1142,3.225026
國立清華大學,電機工程學系乙組,11332,3.182817
國立清華大學,數學系數學組,11162,3.172604
國立臺灣大學,外國語文學系,1022,3.167515
國立交通大學,電子工程學系(甲組),13032,3.156463
國立臺灣大學,大氣科學系,1152,3.155067
國立臺灣大學,政治學系政治理論組,1162,3.102312
國立清華大學,物理學系物理組(甲組一般組),11182,3.100727
國立清華大學,物理學系光電物理組,11202,3.098404
國立交通大學,電機工程學系(甲組),13052,3.07231
國立清華大學,工學院學士班,11312,3.071095
國立臺灣大學,生物產業傳播暨發展學系,1452,3.04159
國立交通大學,旋坤揚帆招生甲組(電機資訊),13292,3.039176
國立臺灣大學,農業經濟學系,1422,3.039164
國立中興大學,獸醫學系,3382,3.016896
國立交通大學,奈米科學及工程學士學位學程,13022,3.004974
國立政治大學,傳播學院大一大二不分系,6232,2.963063
中國醫藥大學,中醫學系乙組,12042,2.949058
國立清華大學,清華學院學士班丙組(不分系招生-創新設計),11422,2.935522
國立清華大學,資訊工程學系乙組(資訊工程組),11352,2.913554
國立交通大學,外國語文學系,13262,2.906227
國立臺灣大學,戲劇學系,1082,2.904378
國立清華大學,化學系,11212,2.903598
國立交通大學,光電工程學系,13072,2.887662
國立臺灣大學,政治學系國際關係組,1172,2.852074
國立臺灣大學,哲學系,1042,2.847833
國立臺灣藝術大學,電影學系,56032,2.833331
國立臺灣大學,政治學系公共行政組,1182,2.831916
國立臺灣藝術大學,古蹟藝術修護學系,56172,2.828127
國立政治大學,法律學系,6332,2.826638
國立臺灣大學,植物病理與微生物學系,1482,2.822726
國立清華大學,原子科學院學士班,11262,2.818555
國立臺灣師範大學,體育學系,2382,2.795326
國立交通大學,理學院科學學士學位學程(乙組),13142,2.72884
臺北醫學大學,藥學系臨床藥學組,109042,2.724615
高雄醫學大學,藥學系,7062,2.718541
國立清華大學,數學系應用數學組,11172,2.715675
國立成功大學,全校不分系學士學位學程,4452,2.707305
中原大學,建築學系,8292,2.695566
國立中央大學,資訊工程學系（APCS組）,16202,2.6818
國立陽明大學,護理學系(公費生),25072,2.651344
國立交通大學,電子物理學系光電與奈米科學組,13162,2.64723
國立清華大學,清華學院學士班乙組(不分系招生-美術),11412,2.643655
國立臺灣大學,公共衛生學系,1552,2.634546
國立交通大學,資訊管理與財務金融學系財務金融組,13222,2.629352
國立成功大學,交通管理科學系,4242,2.628658
國立政治大學,風險管理與保險學系,6222,2.613409
國立清華大學,藝術學院學士班,11472,2.593131
國立臺灣師範大學,特殊教育學系,2082,2.58621
國立中興大學,國際農企業學士學位學程,3362,2.583251
國立政治大學,財務管理學系,6212,2.580597
國立清華大學,工程與系統科學系甲組,11242,2.574853
國立臺灣大學,昆蟲學系,1472,2.570789
實踐大學,工業產品設計學系(臺北校區),50062,2.549445
中山醫學大學,牙醫學系,26022,2.540852
國立中興大學,興翼招生E組(農學相關),3432,2.534851
中國醫藥大學,藥學系,12052,2.534676
逢甲大學,美國普渡大學電機資訊雙學士學位學程,15412,2.532646
國立政治大學,地政學系土地管理組,6102,2.526502
國立臺灣師範大學,學習科學學士學位學程,2092,2.51868
國立臺灣大學,生物環境系統工程學系,1382,2.515984
國立臺灣大學,農藝學系,1372,2.507861
國立清華大學,生命科學院學士班,11392,2.502351
國立政治大學,外交學系,6142,2.493636
國立交通大學,資訊工程學系資電工程組,13082,2.492544
國立交通大學,應用化學系,13182,2.48643
國立臺灣大學,地質科學系,1122,2.485979
國立成功大學,物理治療學系,4322,2.485532
國立清華大學,教育與學習科技學系(公費生),11062,2.474798
國立政治大學,中國文學系,6012,2.469023
國立政治大學,政星招生甲組,6382,2.461646
國立清華大學,旭日招生乙組(理工、生科、原科),11452,2.458828
國立臺北藝術大學,新媒體藝術學系,28022,2.458481
國立中央大學,客家語文暨社會科學學系,16262,2.450384
國立陽明大學,護理學系,25062,2.442699
國立成功大學,系統及船舶機電工程學系,4172,2.438458
國立成功大學,數學系,4052,2.438139
國立臺北大學,法律學系法學組,99012,2.429235
國立政治大學,心理學系,6352,2.406074
臺北醫學大學,牙體技術學系,109122,2.400598
實踐大學,服裝設計學系(臺北校區),50052,2.399482
國立臺灣大學,醫學檢驗暨生物技術學系,1262,2.396842
國立清華大學,化學工程學系,11272,2.385217
國立臺灣大學,社會學系,1202,2.374803
馬偕醫學院,聽力暨語言治療學系語言組,152052,2.358699
國立清華大學,工程與系統科學系乙組,11252,2.346104
國立中央大學,物理學系,16052,2.339349
國立臺灣大學,社會工作學系,1212,2.338564
國立臺灣師範大學,地理學系,2132,2.320502
國立清華大學,科技管理學院學士班,11142,2.317645
國立成功大學,化學系,4072,2.3055
國立政治大學,企業管理學系,6192,2.304692
國立中央大學,地球科學學系,16252,2.304439
國立政治大學,會計學系,6172,2.299571
國立成功大學,電機工程學系,4382,2.29796
國立政治大學,資訊管理學系,6202,2.291335
國立成功大學,護理學系,4302,2.28366
國立清華大學,竹師教育學院學士班,11122,2.279601
國立臺北大學,法律學系司法組,99022,2.267907
國立臺北教育大學,數學與資訊教育學系數學組(公費生),32222,2.250322
國立臺灣藝術大學,雕塑學系,56162,2.24927
國立政治大學,韓國語文學系,6282,2.242631
國立臺北大學,會計學系,99062,2.225414
國立政治大學,歐洲語文學系德文組,6312,2.219287
國立陽明大學,學士班大一大二不分系,25122,2.218564
國立交通大學,理學院科學學士學位學程(丙組),13152,2.214093
國立政治大學,財政學系,6072,2.213393
國立臺南大學,英語學系(公費生),33212,2.193415
國立成功大學,會計學系,4272,2.191726
國立政治大學,斯拉夫語文學系,6262,2.190872
實踐大學,媒體傳達設計學系數位3D動畫設計組(臺北校區),50072,2.178571
國立政治大學,國際經營與貿易學系,6152,2.167692
國立臺灣大學,園藝暨景觀學系,1432,2.167359
國立成功大學,醫學系(公費生),4472,2.158801
國立成功大學,成星招生甲組(文社),4482,2.154796
國立臺北大學,法律學系財經法組,99032,2.151666
國立成功大學,化學工程學系,4112,2.150141
國立臺北教育大學,自然科學教育學系(公費生乙組),32212,2.145125
國立交通大學,管理科學系,13232,2.139827
國立交通大學,機械工程學系,13122,2.137554
國立臺灣大學,人類學系,1052,2.132826
國立陽明大學,不分系招生(璞玉A組),25132,2.127557
國立臺灣藝術大學,工藝設計學系,56192,2.124964
國立臺北藝術大學,劇場設計學系,28012,2.120637
國立臺灣師範大學,數學系,2152,2.115666
國立成功大學,物理學系,4062,2.115596
國立臺北教育大學,數位科技設計學系,32142,2.112957
國立臺灣師範大學,物理學系,2162,2.108588
國立臺灣師範大學,設計學系視覺設計組,2352,2.103765
國立成功大學,資源工程學系,4132,2.102429
國立成功大學,都市計劃學系,4412,2.10178
淡江大學,建築學系,14362,2.083609
國立臺灣藝術大學,美術學系,56142,2.075458
元智大學,資訊工程學系(APCS組),40142,2.074007
國立清華大學,工業工程與工程管理學系,11302,2.072863
