school_name,department_name,department_id,score
國立臺灣大學,醫學系,1222,5.064536
國立陽明大學,醫學系(繁星第八類),25162,4.707004
臺北醫學大學,醫學系(繁星第八類),109192,3.569687
國立臺灣大學,醫學系(繁星第八類),1622,3.414741
中山醫學大學,醫學系(繁星第八類),26222,3.261862
國立臺灣大學,電機工程學系,1552,3.073576
國立成功大學,醫學系(繁星第八類),4542,3.027795
國立臺灣大學,財務金融學系,1512,2.995326
長庚大學,醫學系(繁星第八類),30212,2.813
國立成功大學,醫學系,4282,2.7388
中國醫藥大學,醫學系(繁星第八類),12162,2.670679
馬偕醫學院,醫學系(繁星第八類),152062,2.614128
國立臺灣大學,國際企業學系,1522,2.56473
國立臺灣大學,獸醫學系,1432,2.493478
高雄醫學大學,醫學系(繁星第八類),7262,2.47905
國立臺灣藝術大學,多媒體動畫藝術學系,56202,2.380362
國立臺灣大學,材料科學與工程學系,1342,2.376998
國立臺灣大學,物理學系,1102,2.307053
國立臺灣大學,會計學系,1502,2.305112
國立臺灣大學,牙醫學系,1242,2.298365
國立臺灣大學,化學系,1112,2.249877
國立清華大學,化學工程學系,11272,2.221471
國立臺灣大學,護理學系,1272,2.184782
國立臺灣大學,數學系,1092,2.167826
國立臺灣大學,資訊工程學系,1562,2.147457
國立臺灣大學,中國文學系,1012,2.053284
國立政治大學,法律學系,6372,2.044878
國立臺灣大學,工商管理學系企業管理組,1482,2.038811
國立臺灣大學,地理環境資源學系,1142,2.034771
國立陽明大學,藥學系,25112,2.02837
國立臺灣師範大學,不分系招生(晨光組),2332,2.016643
國立臺灣大學,藥學系,1252,1.986284
臺北醫學大學,藥學系臨床藥學組,109052,1.972926
國立臺灣大學,政治學系國際關係組,1172,1.969959
國立臺灣大學,昆蟲學系,1462,1.963491
國立臺灣大學,法律學系法學組,1572,1.9544
國立臺灣大學,法律學系司法組,1582,1.950089
國立臺灣大學,外國語文學系,1022,1.919034
國立臺灣大學,物理治療學系,1282,1.912849
國立臺灣大學,歷史學系,1032,1.896412
國立臺灣大學,戲劇學系,1082,1.896168
國立臺灣大學,法律學系財經法學組,1592,1.880443
國立清華大學,化學系,11212,1.862771
國立臺灣大學,心理學系,1132,1.837332
國立臺灣大學,大氣科學系,1152,1.82507
國立臺灣大學,生物產業傳播暨發展學系,1442,1.819425
國立臺灣大學,政治學系政治理論組,1162,1.775971
國立臺灣大學,資訊管理學系,1532,1.74855
實踐大學,媒體傳達設計學系數位3D動畫設計組(臺北校區),50072,1.725054
國立成功大學,藥學系,4332,1.710748
國立臺灣大學,生化科技學系,1612,1.691605
