school_name,department_name,department_id,score
國立臺灣大學,醫學系,1222,6.479709
國立陽明大學,醫學系(繁星第八類),25162,6.087876
國立臺灣大學,醫學系(繁星第八類),1622,5.074573
臺北醫學大學,醫學系(繁星第八類),109192,4.815408
國立成功大學,醫學系(繁星第八類),4542,4.728559
中山醫學大學,醫學系(繁星第八類),26222,4.449056
長庚大學,醫學系(繁星第八類),30212,4.337784
馬偕醫學院,醫學系(繁星第八類),152062,4.041699
中國醫藥大學,醫學系(繁星第八類),12162,4.025512
國立成功大學,醫學系,4282,3.929038
國立臺灣大學,電機工程學系,1552,3.901062
國立臺灣大學,財務金融學系,1512,3.768136
國立臺灣大學,牙醫學系,1242,3.56204
高雄醫學大學,醫學系(繁星第八類),7262,3.484401
國立臺灣大學,國際企業學系,1522,3.253127
國立臺灣大學,獸醫學系,1432,3.216065
國立臺灣大學,材料科學與工程學系,1342,3.152223
國立臺灣大學,物理學系,1102,3.095699
國立臺灣大學,化學系,1112,3.024876
國立臺灣大學,資訊工程學系,1562,3.00485
國立臺灣大學,數學系,1092,2.973819
國立臺灣大學,會計學系,1502,2.971637
國立清華大學,化學工程學系,11272,2.969331
輔仁大學,醫學系(繁星第八類),20592,2.926885
國立陽明大學,藥學系,25112,2.742537
國立臺灣大學,藥學系,1252,2.708206
國立臺灣大學,法律學系財經法學組,1592,2.708147
國立臺灣大學,法律學系法學組,1572,2.705162
國立臺灣大學,護理學系,1272,2.704538
國立臺灣大學,工商管理學系企業管理組,1482,2.702006
馬偕醫學院,醫學系,152012,2.696509
臺北醫學大學,醫學系,109012,2.680864
國立臺灣大學,心理學系,1132,2.676222
國立臺灣大學,地理環境資源學系,1142,2.643869
慈濟大學,醫學系,108012,2.623174
國立政治大學,法律學系,6372,2.620844
臺北醫學大學,藥學系臨床藥學組,109052,2.620181
國立臺灣大學,物理治療學系,1282,2.61697
國立臺灣大學,昆蟲學系,1462,2.593135
國立臺灣大學,政治學系國際關係組,1172,2.581731
國立臺灣大學,法律學系司法組,1582,2.578234
國立臺灣大學,外國語文學系,1022,2.540792
國立交通大學,電機工程學系(乙組),13022,2.535589
國立陽明大學,不分系招生(璞玉B組),25142,2.531628
國立臺灣大學,資訊管理學系,1532,2.525222
國立臺灣大學,機械工程學系,1312,2.51351
國立臺灣大學,中國文學系,1012,2.507674
國立清華大學,化學系,11212,2.506033
國立臺灣大學,戲劇學系,1082,2.503532
國立臺灣藝術大學,多媒體動畫藝術學系,56202,2.493746
國立臺灣大學,大氣科學系,1152,2.481111
國立臺灣大學,生化科技學系,1612,2.454143
國立清華大學,旭日招生丁組(工學院),11502,2.44547
國立臺灣大學,歷史學系,1032,2.424596
國立陽明大學,醫學系A組,25012,2.409417
國立交通大學,資訊工程學系(乙組),13052,2.39549
國立成功大學,藥學系,4332,2.38854
長庚大學,中醫學系,30022,2.382084
國立陽明大學,牙醫學系,25032,2.377553
國立臺灣大學,政治學系政治理論組,1162,2.377401
國立臺灣大學,生物產業傳播暨發展學系,1442,2.333138
國立臺灣大學,化學工程學系,1322,2.330079
國立臺灣大學,醫學檢驗暨生物技術學系,1262,2.318926
高雄醫學大學,醫學系,7012,2.317165
國立臺灣師範大學,不分系招生(晨光組),2332,2.31693
國立臺灣大學,政治學系公共行政組,1182,2.314096
國立清華大學,材料科學工程學系,11302,2.271112
長庚大學,醫學系,30012,2.266079
中山醫學大學,醫學系,26012,2.264565
國立臺灣大學,生物機電工程學系,1452,2.246198
國立臺灣大學,醫學系(公費生),1232,2.231656
中國醫藥大學,醫學系,12022,2.222558
國立成功大學,牙醫學系,4342,2.211492
國立臺灣大學,工程科學及海洋工程學系,1332,2.187878
慈濟大學,醫學系(繁星第八類),108202,2.187328
國立臺灣大學,經濟學系,1192,2.180234
臺北醫學大學,牙醫學系,109032,2.159331
國立臺灣大學,職能治療學系,1292,2.140978
國立陽明大學,醫學系B組,25022,2.133965
高雄醫學大學,藥學系,7062,2.112287
國立清華大學,清華學院學士班丙組(不分系招生-創新設計),11442,2.101414
國立臺灣大學,植物病理與微生物學系,1472,2.07724
國立臺灣大學,日本語文學系,1072,2.075826
國立臺灣大學,哲學系,1042,2.054456
國立交通大學,應用化學系,13152,2.042945
國立臺灣大學,農業化學系,1382,2.038953
國立成功大學,全校不分系學士學位學程,4472,2.023334
國立清華大學,生命科學系,11392,2.010599
國立政治大學,歐洲語文學系德文組,6352,2.006953
國立清華大學,物理學系物理組(乙組天文物理組),11192,1.985149
國立政治大學,外交學系,6162,1.971598
中國醫藥大學,中醫學系甲組,12032,1.968327
國立清華大學,資訊工程學系乙組(資訊工程組),11362,1.967667
國立清華大學,數學系甲組(數學組),11162,1.962687
臺北醫學大學,藥學系藥學組,109042,1.958546
臺北醫學大學,展翅B組,109182,1.944641
中國醫藥大學,牙醫學系,12012,1.941378
國立臺灣大學,土木工程學系,1302,1.936254
國立交通大學,電機工程學系(甲組),13012,1.924664
國立成功大學,建築學系,4422,1.915641
國立政治大學,資訊管理學系,6222,1.893299
國立清華大學,生命科學院學士班,11412,1.888687
高雄醫學大學,醫學系(公費生),7252,1.882314
國立清華大學,外國語文學系,11032,1.872469
國立政治大學,傳播學院大一大二不分系(社會組),6252,1.862257
國立臺灣大學,工商管理學系科技管理組,1492,1.852358
國立陽明大學,生物醫學影像暨放射科學系,25052,1.842846
東海大學,建築學系,9482,1.832607
國立政治大學,國際經營與貿易學系,6172,1.81687
國立臺灣大學,公共衛生學系,1542,1.81533
國立臺灣大學,園藝暨景觀學系,1422,1.813854
國立政治大學,財務管理學系,6232,1.801007
國立政治大學,歐洲語文學系西班牙文組,6362,1.772843
中國醫藥大學,中醫學系乙組,12042,1.764051
臺北基督學院,基督教博雅學系,154012,1.761768
輔仁大學,醫學系,20122,1.761577
國立清華大學,工業工程與工程管理學系,11312,1.759501
國立臺灣大學,圖書資訊學系,1062,1.755936
國立清華大學,數學系乙組(應用數學組),11172,1.745837
國立中興大學,獸醫學系,3392,1.743091
國立中央大學,物理學系,16062,1.738513
開南大學,保健營養學系,110172,1.733479
國立臺灣大學,人類學系,1052,1.724578
國立臺灣大學,森林環境暨資源學系,1392,1.716349
國立臺灣大學,生命科學系,1602,1.713089
國立陽明大學,醫學生物技術暨檢驗學系,25042,1.697298
開南大學,資訊管理學系,110102,1.691378
實踐大學,媒體傳達設計學系數位3D動畫設計組(臺北校區),50072,1.676376
國立臺灣大學,農藝學系,1362,1.673875
開南大學,空運管理學系,110062,1.668778
國立政治大學,心理學系,6392,1.664311
逢甲大學,美國加州聖荷西州立大學大數據雙學士學位學程,15402,1.661424
國立成功大學,物理治療學系,4322,1.66116
國立陽明大學,物理治療暨輔助科技學系,25082,1.643744
高雄醫學大學,牙醫學系,7042,1.638626
開南大學,物流與航運管理學系,110052,1.619979
國立政治大學,阿拉伯語文學系,6292,1.619801
國立清華大學,物理學系物理組(甲組一般組),11182,1.605698
開南大學,法律學系,110142,1.594082
國立清華大學,旭日招生戊組(電資院),11512,1.592578
實踐大學,工業產品設計學系(臺北校區),50062,1.592222
實踐大學,建築設計學系(臺北校區),50092,1.587863
國立成功大學,水利及海洋工程學系,4152,1.577836
國立成功大學,工業設計學系,4442,1.552967
國立臺灣大學,農業經濟學系,1412,1.55268
開南大學,觀光與餐飲旅館學系,110072,1.552384
國立中興大學,景觀與遊憩學士學位學程,3362,1.540425
國立清華大學,電機資訊學院學士班,11382,1.537977
國立臺灣大學,生物環境系統工程學系,1372,1.535418
國立政治大學,統計學系,6202,1.521366
銘傳大學,資訊工程學系(APCS組．桃園校區),46502,1.520423
國立臺灣師範大學,設計學系視覺設計組,2362,1.512941
國立成功大學,醫學檢驗生物技術學系,4292,1.512341
慈濟大學,醫學系(公費生),108162,1.508914
開南大學,數位多媒體設計學系,110122,1.508009
中國文化大學,音樂學系,17572,1.477092
國立清華大學,理學院學士班,11222,1.476334
國立臺灣師範大學,英語學系,2122,1.474447
國立中興大學,興翼招生F組(農業科技),3452,1.464266
國立清華大學,工程與系統科學系乙組(智慧奈米系統組),11252,1.452605
國立臺灣師範大學,體育學系,2392,1.450049
國立臺北大學,法律學系法學組,99012,1.449425
國立清華大學,中國文學系乙組(華語文教學組),11022,1.449147
開南大學,應用日語學系,110152,1.444689
國立政治大學,韓國語文學系,6322,1.442474
國立中央大學,客家語文暨社會科學學系,16292,1.438947
國立政治大學,企業管理學系,6212,1.43692
國立清華大學,人文社會學院學士班,11042,1.431958
國立政治大學,教育學系,6042,1.431646
高雄醫學大學,物理治療學系,7132,1.431409
