school_name	department_name	department_id	score
國立臺灣大學	醫學系	1222	6.525536
國立陽明大學	醫學系(繁星第八類)	25162	6.139877
國立臺灣大學	醫學系(繁星第八類)	1622	5.108274
臺北醫學大學	醫學系(繁星第八類)	109192	4.875973
國立成功大學	醫學系(繁星第八類)	4542	4.796531
中山醫學大學	醫學系(繁星第八類)	26222	4.431328
長庚大學	醫學系(繁星第八類)	30212	4.381824
馬偕醫學院	醫學系(繁星第八類)	152062	4.134575
中國醫藥大學	醫學系(繁星第八類)	12162	4.071634
國立成功大學	醫學系	4282	4.01538
國立臺灣大學	電機工程學系	1552	3.972549
國立臺灣大學	財務金融學系	1512	3.752737
國立臺灣大學	牙醫學系	1242	3.550406
高雄醫學大學	醫學系(繁星第八類)	7262	3.52947
國立臺灣大學	國際企業學系	1522	3.261536
國立臺灣大學	材料科學與工程學系	1342	3.238549
國立臺灣大學	獸醫學系	1432	3.213331
國立臺灣大學	物理學系	1102	3.147101
國立臺灣大學	資訊工程學系	1562	3.097407
國立臺灣大學	化學系	1112	3.084495
國立清華大學	化學工程學系	11272	3.021753
國立臺灣大學	會計學系	1502	2.999515
輔仁大學	醫學系(繁星第八類)	20592	2.964183
國立臺灣大學	數學系	1092	2.953707
臺北醫學大學	醫學系	109012	2.82788
國立臺灣大學	藥學系	1252	2.824356
國立陽明大學	藥學系	25112	2.803094
國立臺灣大學	法律學系法學組	1572	2.759626
國立臺灣大學	護理學系	1272	2.7303
國立臺灣大學	工商管理學系企業管理組	1482	2.717483
馬偕醫學院	醫學系	152012	2.685952
國立臺灣大學	昆蟲學系	1462	2.675417
臺北醫學大學	藥學系臨床藥學組	109052	2.662619
慈濟大學	醫學系	108012	2.660152
國立臺灣大學	地理環境資源學系	1142	2.630504
國立陽明大學	不分系招生(璞玉B組)	25142	2.62253
國立臺灣大學	法律學系司法組	1582	2.621657
國立臺灣大學	心理學系	1132	2.621116
國立臺灣大學	法律學系財經法學組	1592	2.616947
國立政治大學	法律學系	6372	2.611876
國立臺灣大學	政治學系國際關係組	1172	2.59605
國立臺灣大學	資訊管理學系	1532	2.59067
高雄醫學大學	醫學系	7012	2.576543
國立臺灣大學	戲劇學系	1082	2.562865
國立臺灣大學	中國文學系	1012	2.560875
中山醫學大學	醫學系	26012	2.557211
國立臺灣大學	外國語文學系	1022	2.556176
國立臺灣藝術大學	多媒體動畫藝術學系	56202	2.555144
國立臺灣大學	物理治療學系	1282	2.534875
國立清華大學	化學系	11212	2.532886
國立清華大學	旭日招生丁組(工學院)	11502	2.511201
國立成功大學	藥學系	4332	2.463506
國立臺灣大學	大氣科學系	1152	2.450195
長庚大學	中醫學系	30022	2.449671
國立臺灣大學	生化科技學系	1612	2.423419
國立臺灣大學	歷史學系	1032	2.416096
國立清華大學	材料科學工程學系	11302	2.395924
國立臺灣大學	生物產業傳播暨發展學系	1442	2.390641
國立陽明大學	醫學系A組	25012	2.39037
國立臺灣大學	政治學系政治理論組	1162	2.387674
國立成功大學	牙醫學系	4342	2.385397
國立臺灣大學	機械工程學系	1312	2.377842
國立臺灣師範大學	不分系招生(晨光組)	2332	2.349557
國立交通大學	電機工程學系(乙組)	13022	2.340276
國立臺灣大學	化學工程學系	1322	2.329886
國立臺灣大學	醫學檢驗暨生物技術學系	1262	2.314329
長庚大學	醫學系	30012	2.314205
國立陽明大學	牙醫學系	25032	2.303161
國立臺灣大學	工程科學及海洋工程學系	1332	2.289934
國立臺灣大學	生物機電工程學系	1452	2.275044
國立臺灣大學	醫學系(公費生)	1232	2.274316
慈濟大學	醫學系(繁星第八類)	108202	2.272514
中國醫藥大學	醫學系	12022	2.245402
臺北醫學大學	牙醫學系	109032	2.238141
國立臺灣大學	政治學系公共行政組	1182	2.229733
國立交通大學	資訊工程學系(乙組)	13052	2.198106
國立清華大學	清華學院學士班丙組(不分系招生-創新設計)	11442	2.193673
國立臺灣大學	經濟學系	1192	2.168025
國立臺灣大學	土木工程學系	1302	2.122603
國立清華大學	生命科學系	11392	2.11841
國立臺灣大學	職能治療學系	1292	2.117043
國立臺灣大學	哲學系	1042	2.113417
國立陽明大學	醫學系B組	25022	2.111103
國立臺灣大學	植物病理與微生物學系	1472	2.09645
高雄醫學大學	藥學系	7062	2.079642
國立臺灣大學	農業化學系	1382	2.05034
國立清華大學	物理學系物理組(乙組天文物理組)	11192	2.049794
國立臺灣大學	工商管理學系科技管理組	1492	2.043944
國立臺灣大學	日本語文學系	1072	2.043661
國立交通大學	應用化學系	13152	2.024531
國立政治大學	歐洲語文學系德文組	6352	2.00411
國立成功大學	建築學系	4422	1.99913
國立成功大學	全校不分系學士學位學程	4472	1.974054
國立政治大學	外交學系	6162	1.961387
國立清華大學	數學系甲組(數學組)	11162	1.957255
國立政治大學	傳播學院大一大二不分系(社會組)	6252	1.940605
國立交通大學	電機工程學系(甲組)	13012	1.930355
國立清華大學	資訊工程學系乙組(資訊工程組)	11362	1.925463
臺北醫學大學	展翅B組	109182	1.922428
國立陽明大學	生物醫學影像暨放射科學系	25052	1.916341
高雄醫學大學	醫學系(公費生)	7252	1.896822
國立政治大學	資訊管理學系	6222	1.861841
國立臺灣大學	公共衛生學系	1542	1.850041
國立清華大學	外國語文學系	11032	1.839722
中國醫藥大學	牙醫學系	12012	1.833936
